wave,Fobar,oza,ag,aw
799.0,1.14066451612903,0.0071732,0.0,0.602
800.0,1.13214,0.007138,0.0,0.602
801.0,1.13812195652174,0.0071028,0.0,0.602
802.0,1.13730333333333,0.0070676,0.0,0.602
803.0,1.1341424999999998,0.0070324,0.0,0.602
804.0,1.1342817391304298,0.0069972,0.0,0.602
805.0,1.11758849462366,0.006962,0.0,0.602
806.0,1.13125,0.0069268,0.0,0.602
807.0,1.12493086956522,0.0068916,0.0,0.602
808.0,1.12127565217391,0.0068564,0.0,0.602
809.0,1.11364608695652,0.0068212,0.0,0.602
810.0,1.11248739130435,0.006786,0.0,0.602
811.0,1.12284391304348,0.0067508,0.0,0.602
812.0,1.1260147826087,0.0067156,0.0,0.602
813.0,1.12945043478261,0.0066804,0.0,0.602
814.0,1.12350347826087,0.0066452,0.0,0.602
815.0,1.11915304347826,0.00661,0.0,0.602
816.0,1.1159328571428602,0.0065748,0.0,0.602
817.0,1.11110934782609,0.0065396,0.0,0.602
818.0,1.09570304347826,0.0065044,0.0,0.602
819.0,1.08067285714286,0.0064692,0.0,0.602
820.0,1.07486434782609,0.006434,0.0,0.602
821.0,1.0770078021978,0.0063988,0.0,0.602
822.0,1.07660347826087,0.0063636,0.0,0.602
823.0,1.08798054347826,0.0063284,0.0,0.602
824.0,1.08491901098901,0.0062932,0.0,0.602
825.0,1.08134217391304,0.006258,0.0,0.602
826.0,1.0836754945054898,0.0062228,0.0,0.602
827.0,1.0868330769230798,0.0061876,0.0,0.602
828.0,1.07848173913043,0.0061524,0.0,0.602
829.0,1.0748084615384599,0.0061172,0.0,0.602
830.0,1.06920739130435,0.006082,0.0,0.602
831.0,1.06540626373626,0.0060468,0.0,0.602
832.0,1.06500494505494,0.0060116,0.0,0.602
833.0,1.03990846153846,0.0059764,0.0,0.602
834.0,1.03361,0.0059412,0.0,0.602
835.0,1.0503110989011,0.005906,0.0,0.602
836.0,1.0585416483516499,0.0058708,0.0,0.602
837.0,1.0561647826087,0.0058356,0.0,0.602
838.0,1.0371713333333301,0.0058004,0.0,0.602
839.0,1.03806736263736,0.0057652,0.0,0.602
840.0,1.05302538461538,0.00573,0.0,0.602
841.0,1.0506231868131901,0.0056948,0.0,0.602
842.0,1.03100516483516,0.0056596,0.0,0.602
843.0,1.01566813186813,0.0056244,0.0,0.602
844.0,1.0164868131868101,0.0055892,0.0,0.602
845.0,1.03759466666667,0.005554,0.0,0.602
846.0,1.04048813186813,0.0055188,0.0,0.602
847.0,1.01767428571429,0.0054836,0.0,0.602
848.0,1.01712366666667,0.0054484,0.0,0.602
849.0,0.992709333333338,0.0054132,0.0,0.602
850.0,0.9295887912087899,0.005378,0.0,0.602
851.0,0.988507777777778,0.0053428,0.0,0.602
852.0,0.980505384615385,0.0053076,0.0,0.602
853.0,0.9438086666666661,0.0052724,0.0,0.602
854.0,0.82939230769231,0.0052372,0.0,0.602
855.0,0.9005310000000021,0.005202,0.0,0.602
856.0,0.983147555555557,0.0051668,0.0,0.602
857.0,0.9791915384615401,0.0051316,0.0,0.602
858.0,0.989321111111111,0.0050964,0.0,0.602
859.0,0.985095333333334,0.0050612,0.0,0.602
860.0,0.990923555555556,0.005026,0.0,0.602
861.0,0.989844175824176,0.0049908,0.0,0.602
